job_id,job_role,company,experience,salary,location,rating,reviews,resposibilities,posted_on,job_link,company_link
050123012370,Hexaware Technologies || Azure DataBricks_Pyspark Experts,Hexaware Technologies,6-11 Yrs,"10,00,000 - 20,00,000 PA.","Pune, Chennai, Mumbai (All Areas)",3.7,3172 Reviews,"Pyspark,Azure Databricks,Python,Azure Data Lake,Azure,Object Oriented Programming,Azure Data,Bricks",1 Day Ago,https://www.naukri.com/job-listings-hexaware-technologies-azure-databricks-pyspark-experts-hexaware-technologies-pune-chennai-mumbai-all-areas-6-to-11-years-050123012370,https://www.naukri.com/hexaware-technologies-jobs-careers-9815
050123012324,Hexaware Hiring _ Business Analyst (Agile) - Immediate Joiner,Hexaware Technologies,6-11 Yrs,Not disclosed,"Temp. WFH - Pune, Chennai, Mumbai (All Areas)",3.7,3172 Reviews,"Skill,Safe Agilist,Product owner,Agile,business analyst,scrum agile",1 Day Ago,https://www.naukri.com/job-listings-hexaware-hiring-business-analyst-agile-immediate-joiner-hexaware-technologies-pune-chennai-mumbai-all-areas-6-to-11-years-050123012324,https://www.naukri.com/hexaware-technologies-jobs-careers-9815
050123007349,Hexaware is hiring Cloudera experts For Multiple location.,Hexaware Technologies,6-9 Yrs,Not disclosed,"Hybrid - Pune, Chennai, Mumbai (All Areas)",3.7,3172 Reviews,"cloudera,spark,pyspark,HDFS,Hive SQL,Hive,SCALA,Impala",2 Days Ago,https://www.naukri.com/job-listings-hexaware-is-hiring-cloudera-experts-for-multiple-location-hexaware-technologies-pune-chennai-mumbai-all-areas-6-to-9-years-050123007349,https://www.naukri.com/hexaware-technologies-jobs-careers-9815
151222006599,PowerBI Developer,EY,5-10 Yrs,Not disclosed,"Hybrid - Pune, Mumbai (All Areas)",3.8,6251 Reviews,"pagination,Power Bi,Dax",1 Day Ago,https://www.naukri.com/job-listings-powerbi-developer-ey-pune-mumbai-all-areas-5-to-10-years-151222006599,https://www.naukri.com/ey-jobs-careers-9156
050123009184,Category & Merchandising Management For SkinCategory.,Elasticrun,6-10 Yrs,Not disclosed,"Pune, Mumbai (All Areas)",3.7,1190 Reviews,"Category Management,Beauty,Retail,B2B,FMCG Merchandising,Shopper Marketing,Skin Care,Modern Trade",2 Days Ago,https://www.naukri.com/job-listings-category-merchandising-management-for-skincategory-elasticrun-pune-mumbai-all-areas-6-to-10-years-050123009184,https://www.naukri.com/elasticrun-jobs-careers-3144112
311222002473,Deputy Manager- Marketing (Digital & B2B)-Industrial,Exide,2-7 Yrs,"4,00,000 - 9,00,000 PA. (Including Variable: 20.0%)","Kolkata, Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",3.7,1438 Reviews,"Sales Automation,digital initiative,dms,Salesforce CRM,marketing automation",7 Days Ago,https://www.naukri.com/job-listings-deputy-manager-marketing-digital-b2b-industrial-exide-industries-ltd-kolkata-hyderabad-secunderabad-pune-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-2-to-7-years-311222002473,https://www.naukri.com/exide-jobs-careers-414
271222005611,Customer Service Associate,Tech Mahindra,0-2 Yrs,"2,50,000 - 3,50,000 PA.","Temp. WFH - Noida, Kolkata, New Delhi, Hyderabad/Secunderabad, Pune, Jamshedpur, Delhi / NCR, Bangalore/Bengaluru, Mumbai (All Areas)",3.7,21417 Reviews,"Bengali,International BPO,BPO,Customer Service,Non Voice Process,English Language,Annotation",9 Days Ago,https://www.naukri.com/job-listings-customer-service-associate-tech-mahindra-noida-kolkata-new-delhi-hyderabad-secunderabad-pune-jamshedpur-delhi-ncr-bangalore-bengaluru-mumbai-all-areas-0-to-2-years-271222005611,https://www.naukri.com/tech-mahindra-jobs-careers-1066
211222006941,Senior Java BED ( PAN India)- KG,Tech Mahindra,8-12 Yrs,"25,00,000 - 27,50,000 PA.","Temp. WFH - Noida, Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Delhi / NCR, Bangalore/Bengaluru, Mumbai (All Areas)",3.7,21417 Reviews,"Kafka,sql,spring boot,REST API,java,Lambda,Design Patterns,REST API's",2 Days Ago,https://www.naukri.com/job-listings-senior-java-bed-pan-india-kg-tech-mahindra-noida-kolkata-hyderabad-secunderabad-pune-chennai-ahmedabad-delhi-ncr-bangalore-bengaluru-mumbai-all-areas-8-to-12-years-211222006941,https://www.naukri.com/born-commerce-jobs-careers-756865
191222003926,Relationship Manager,Icici Bank,3-8 Yrs,Not disclosed,"Kolkata, Hyderabad/Secunderabad(Gundrampally +3), Pune, Chennai, Ahmedabad, Delhi / NCR, Bangalore/Bengaluru, Mumbai (All Areas)",4.0,33455 Reviews,"RM,Business Development,Acquisition,Corporate Sales,Sales,Relationship Management,Portfolio",5 Days Ago,https://www.naukri.com/job-listings-relationship-manager-icici-bank-kolkata-hyderabad-secunderabad-pune-chennai-ahmedabad-delhi-ncr-bangalore-bengaluru-mumbai-all-areas-3-to-8-years-191222003926,https://www.naukri.com/icici-bank-jobs-careers-10081
171022008541,Relationship Manager: Retail Banking (PAN India),Icici Bank,3-8 Yrs,Not disclosed,"Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Delhi / NCR, Bangalore/Bengaluru, Mumbai (All Areas)",4.0,33455 Reviews,"Sales,retail banking,Customer Service,Private Banking,Cross Selling,Banking,Priority Banking,Customer Relationship",5 Days Ago,https://www.naukri.com/job-listings-relationship-manager-retail-banking-pan-india-icici-bank-ltd-kolkata-hyderabad-secunderabad-pune-chennai-ahmedabad-delhi-ncr-bangalore-bengaluru-mumbai-all-areas-3-to-8-years-171022008541,https://www.naukri.com/icici-bank-jobs-careers-10081
