name,team,height,date_of_birth,birth_place,role,teams,bat_test,bat_odi,bat_t20,bow_test,bow_odi,bow_t20
Lasith Malinga,Sri Lanka,--,"Aug 28, 1983 (39 years)",Galle,Bowler,"Sri Lanka, Mumbai Indians, Nondescripts Cricket Club, Middlesex, Ruhuna Royals, Melbourne Stars, Ruhuna Reds, Guyana Amazon Warriors, Jamaica Tallawahs, Saint Lucia Kings, Stellenbosch Kings, Rangpur Riders, Dambulla, Montreal Tigers, Kandy, Khulna Titans, Galle, Maratha Arabians, Asia XI, Galle Gladiators",--,--,--,--,--,--
Jeffrey Vandersay,Sri Lanka,5 ft 7 in,"Feb 05, 1990 (32 years)",Wattala,Bowler,"Sri Lanka, Sri Lanka Board Presidents XI, Sri Lanka A, Dambulla, Galle, Sri Lanka XI, Sri Lanka U23, Kandy, Colombo Kings, Colombo Stars",--,--,--,--,87,--
Nuwan Pradeep,Sri Lanka,--,"Oct 19, 1986 (36 years)",Negombo,Bowler,"Sri Lanka, Sri Lanka Board Presidents XI, Royal Challengers Bangalore, Basnahira Cricket Dundee, Sri Lanka A, Ruhuna Reds, Colombo, Kandy, Northern Warriors, Kandy Tuskers, Dambulla Giants, The Chennai Braves, Galle Gladiators",--,--,--,--,82,--
Eoin Morgan,England,5 ft 9 in,"Sep 10, 1986 (36 years)",Dublin,Batsman,"England, Ireland, England Lions, Middlesex, Royal Challengers Bangalore, Kolkata Knight Riders, England Cricket Board XI, Sydney Thunder, Sunrisers Hyderabad, Peshawar Zalmi, Punjab Kings, Durban Qalandars, Barbados Royals, Karachi Kings, World XI, Tshwane Spartans, Kerala Knights, Dublin Chiefs, Delhi Bulls, Team Morgan, London Spirit, World Giants, Paarl Royals, New York Strikers",--,--,--,--,--,--
Joe Root,England,--,"Dec 30, 1990 (31 years)","Sheffield, Yorkshire",Batsman,"Yorkshire, England, England Cricket Board XI, Sydney Thunder, Team Buttler, Team Root, Trent Rockets",1,14,--,88,--,--
Jason Roy,England,--,"Jul 21, 1990 (32 years)","Durban, South Africa",Batsman,"England, Surrey, Chittagong Kings, Sydney Thunder, Sydney Sixers, Lahore Qalandars, Gujarat Lions, Benoni Zalmi, Delhi Capitals, Quetta Gladiators, England Lions, Nelson Mandela Bay Giants, Bengal Tigers, Sylhet Sixers, Perth Scorchers, Team Buttler, Oval Invincibles, Sunrisers Hyderabad, Delhi Bulls, Gujarat Titans, Deccan Gladiators, Paarl Royals",--,19,49,--,--,--
Liam Livingstone,England,--,"Aug 04, 1993 (29 years)","Barrow-in-Furness, Cumberland",Batsman,"Lancashire, England Lions, North, England, Rajasthan Royals, Karachi Kings, Cape Town Blitz, Perth Scorchers, Peshawar Zalmi, Team Moeen, Team Morgan, Birmingham Phoenix, Team Abu Dhabi, Punjab Kings, Melbourne Renegades, MI Cape Town",--,--,88,--,--,--
Dawid Malan,England,6 ft 0 in,"Sep 03, 1987 (35 years)","Roehampton, England",Batsman,"England, Middlesex, Dhaka Dynamites, England Lions, Peshawar Zalmi, Barisal Bulls, South, Nelson Mandela Bay Stars, Khulna Titans, Cape Town Blitz, Sindhis, Qalandars, Cumilla Warriors, Islamabad United, Yorkshire, Jaffna Stallions, Hobart Hurricanes, Team Buttler, Pune Devils, Punjab Kings, Trent Rockets, Sussex, The Chennai Braves, Sharjah Warriors",--,98,6,--,--,--
Moeen Ali,England,--,"Jun 18, 1987 (35 years)",Birmingham,Batting Allrounder,"England, Worcestershire, Duronto Rajshahi, England Lions, Royal Challengers Bangalore, Team Abu Dhabi, Cape Town Blitz, Multan Sultans, Team Stokes, Team Moeen, Team Morgan, Chennai Super Kings, Birmingham Phoenix, Northern Warriors, Comilla Victorians, Morrisville Samp Army, Sharjah Warriors",--,--,45,--,78,--
Ben Stokes,England,--,"Jun 04, 1991 (31 years)","Canterbury, New Zealand",Batting Allrounder,"New Zealand, Durham, England, England Lions, England Cricket Board XI, Melbourne Renegades, Rising Pune Supergiant, Canterbury, Rajasthan Royals, Team Stokes, Team Morgan, Northern Superchargers",21,--,--,35,--,--
Chris Woakes,England,--,"Mar 02, 1989 (33 years)","Birmingham, Warwickshire",Bowling Allrounder,"England, Warwickshire, Sydney Thunder, Kolkata Knight Riders, Royal Challengers Bangalore, England Lions, Delhi Capitals, Team Buttler, Team Morgan, Birmingham Phoenix, Sharjah Warriors",86,--,--,40,11,28
Tom Curran,England,--,"Mar 12, 1995 (27 years)","Cape Town, Cape Province",Bowling Allrounder,"Surrey, England Lions, England, South, Cape Town Knight Riders, Hobart Hurricanes, Kolkata Knight Riders, Kerala Knights, Sydney Sixers, Tshwane Spartans, Rajasthan Royals, Team Moeen, Team Morgan, Delhi Capitals, Oval Invincibles, Desert Vipers",--,--,--,--,--,--
Lewis Gregory,England,--,"May 24, 1992 (30 years)",Plymouth,Bowling Allrounder,"England U19, Somerset, South, MCC World XI, England Lions, England, Team Abu Dhabi, Rangpur Rangers, Peshawar Zalmi, Team Stokes, Team Morgan, Team Vince, Brisbane Heat, Team Buttler, Islamabad United, Trent Rockets, Karachi Kings, Joburg Super Kings, Bangla Tigers",--,--,--,--,--,--
Sam Curran,England,--,"Jun 03, 1998 (24 years)",Northampton,Bowling Allrounder,"Surrey, England U19, England Lions, Auckland, South, England, World XI, Punjab Kings, Chennai Super Kings, Team Buttler, Oval Invincibles, MI Cape Town",--,--,--,71,--,5
Jonny Bairstow,England,--,"Sep 26, 1989 (33 years)","Bradford, Yorkshire",WK-Batsman,"England, Yorkshire, England Cricket Board XI, Peshawar Zalmi, Kerala Knights, Sunrisers Hyderabad, World XI, Team Stokes, Team Moeen, Melbourne Stars, Team Morgan, Welsh Fire, Punjab Kings, Abu Dhabi Knight Riders",10,7,64,--,--,--
Jos Buttler,England,--,"Sep 08, 1990 (32 years)","Taunton, Somerset",WK-Batsman,"Somerset, England, Khulna Royal Bengals, England Lions, Melbourne Renegades, Lancashire, Mumbai Cricket Association XI, Mumbai Indians, Comilla Victorians, Sydney Thunder, Rajasthan Royals, Team Buttler, Manchester Originals, Paarl Royals",65,31,12,--,--,--
Sam Billings,England,--,"Jun 15, 1991 (31 years)","Pembury, Kent",WK-Batsman,"Kent, England, England Lions, Islamabad United, Delhi Capitals, Sydney Sixers, Durban Qalandars, Chennai Super Kings, World XI, Kandahar Knights, Bengal Tigers, Northern Warriors, Team Morgan, Team Vince, Sydney Thunder, Team Buttler, Pune Devils, Oval Invincibles, Kolkata Knight Riders, Brisbane Heat, Desert Vipers",--,--,--,--,--,--
Adil Rashid,England,5 ft 8 in,"Feb 17, 1988 (34 years)","Bradford, Yorkshire",Bowler,"England, England Lions, Yorkshire, South Australia, Adelaide Strikers, Mumbai Cricket Association XI, Cape Town Knight Riders, Dhaka Dynamites, World XI, Delhi Bulls, Team Morgan, Team Vince, Team Buttler, Northern Superchargers, Punjab Kings, Pretoria Capitals, Team Abu Dhabi",--,--,--,--,43,3
Mark Wood,England,--,"Jan 11, 1990 (32 years)","Ashington, Northumberland",Bowler,"England, Durham, Nottinghamshire, England Lions, North, Chennai Super Kings, Team Buttler, Team Morgan, Team Root, London Spirit, Lucknow Super Giants",--,--,--,41,35,27
Jofra Archer,England,--,"Apr 01, 1995 (27 years)","Bridgetown, Barbados",Bowler,"Sussex, Khulna Titans, Hobart Hurricanes, Rajasthan Royals, Galaxy Gladiators Lantau, Quetta Gladiators, Sindhis, England, Team Buttler, Southern Brave, Mumbai Indians, MI Cape Town",--,--,--,66,--,--
Olly Stone,England,--,"Oct 09, 1993 (29 years)","Norwich, Norfolk",Bowler,"Northamptonshire, Warwickshire, England, Team Stokes, Team Buttler, Northern Superchargers, Birmingham Phoenix, MI Cape Town, The Chennai Braves",--,--,--,85,--,--
Reece Topley,England,6 ft 7 in,"Feb 21, 1994 (28 years)","Ipswich, Suffolk",Bowler,"England, Essex, England Lions, Hampshire, Sussex, Team Moeen, Team Vince, Surrey, Team Morgan, Islamabad United, Oval Invincibles, Melbourne Renegades, Durban Super Giants, Northern Warriors",--,--,--,--,73,23
Chris Jordan,England,6 ft 2 in,"Oct 04, 1988 (34 years)",Barbados,Bowler,"England, Surrey, Sussex, Sylhet Super Stars, Peshawar Zalmi, Royal Challengers Bangalore, Adelaide Strikers, Sunrisers Hyderabad, City Kaitak, Bloem City Blazers, Chittagong Vikings, Northern Knights, England Lions, Paktia Panthers, Punjabi Legends, Sydney Thunder, Trinbago Knight Riders, Qalandars, Perth Scorchers, Punjab Kings, Karachi Kings, Team Buttler, Islamabad United, Southern Brave, Northern Warriors, Sydney Sixers, Chennai Super Kings, Gulf Giants",--,--,--,--,--,39
Faf du Plessis,South Africa,5 feet 11 inches,"Jul 13, 1984 (38 years)",Pretoria,Batsman,"South Africa, Chennai Super Kings, Melbourne Renegades, Titans, Rising Pune Supergiant, St Kitts and Nevis Patriots, World XI, Stellenbosch Kings, Paarl Rocks, Edmonton Royals, Belfast Titans, Kent, Colombo Kings, Peshawar Zalmi, Quetta Gladiators, Northern Superchargers, Saint Lucia Kings, Bangla Tigers, Jaffna Kings, Comilla Victorians, Royal Challengers Bangalore, Joburg Super Kings, Perth Scorchers",--,--,--,--,--,--
David Miller,South Africa,--,"Jun 10, 1989 (33 years)","Pietermaritzburg, Natal",Batsman,"South Africa, Punjab Kings, Durham, Yorkshire, Uthura Rudras, Chittagong Kings, Dolphins, South Africa A, Saint Lucia Kings, Knights, Glamorgan, World XI, Bloem City Blazers, Winnipeg Hawks, Jamaica Tallawahs, Durban Heat, Hobart Hurricanes, Rajasthan Royals, Dambulla Viiking, Peshawar Zalmi, Gujarat Titans, Welsh Fire, Barbados Royals, Paarl Royals, Morrisville Samp Army",--,21,31,--,--,--
Aiden Markram,South Africa,--,"Oct 04, 1994 (28 years)",Centurion,Batsman,"South Africa, South Africa U19, South African Invitation XI, Titans, South Africa A, Nelson Mandela Bay Stars, Durham, Paarl Rocks, Hampshire, Punjab Kings, Sunrisers Hyderabad, Sunrisers Eastern Cape",52,56,5,--,--,--
Rassie van der Dussen,South Africa,--,"Feb 07, 1989 (33 years)","Pretoria, Transvaal",Batsman,"Lions, Cape Town Knight Riders, Vancouver Knights, South Africa A, St Kitts and Nevis Patriots, South Africa, Jozi Stars, Islamabad United, Rajasthan Royals, MI Cape Town",46,3,23,--,--,--
Jean-Paul Duminy,South Africa,--,"Apr 14, 1984 (38 years)","Strandfontein, Cape Town, Cape Province",Batting Allrounder,"South Africa, Cape Cobras, Mumbai Indians, South Africa U19, Deccan Chargers, Sunrisers Hyderabad, Surrey, South Africa A, Delhi Capitals, Mumbai Cricket Association XI, Cape Town Knight Riders, South African Invitation XI, Islamabad United, Winnipeg Hawks, Belfast Titans, Barbados Royals, Paarl Rocks",--,--,--,--,--,--
Andile Phehlukwayo,South Africa,--,"Mar 03, 1996 (26 years)",Durban,Bowling Allrounder,"South Africa, South Africa U19, Dolphins, South African Invitation XI, South Africa A, Joburg Giants, Cape Town Blitz, Vancouver Knights, Durban Heat",--,--,--,--,72,--
Dwaine Pretorius,South Africa,--,"Mar 29, 1989 (33 years)",Randfontein,Bowling Allrounder,"South Africa, Lions, South Africa A, Cape Town Knight Riders, Jozi Stars, Northamptonshire, Edinburgh Rocks, Paarl Rocks, Peshawar Zalmi, North West, Chennai Super Kings, St Kitts and Nevis Patriots, Colombo Stars, Welsh Fire, Durban Super Giants, Morrisville Samp Army",--,--,--,--,52,38
Chris Morris,South Africa,--,"Apr 30, 1987 (35 years)","Pretoria, Transvaal",Bowling Allrounder,"South Africa, Lions, Chennai Super Kings, South African Invitation XI, Rajasthan Royals, Titans, South Africa A, Delhi Capitals, Surrey, St Kitts and Nevis Patriots, Durban Qalandars, Nelson Mandela Bay Giants, Hampshire, Sydney Thunder, Royal Challengers Bangalore, Team Abu Dhabi, Barbados Royals",--,--,--,--,--,--
Quinton de Kock,South Africa,--,"Dec 17, 1992 (29 years)","Johannesburg, Gauteng",WK-Batsman,"South Africa U19, Lions, South Africa, Sunrisers Hyderabad, Delhi Capitals, South Africa A, Titans, Rangpur Riders, Benoni Zalmi, Royal Challengers Bangalore, Cape Town Blitz, Mumbai Indians, Southern Brave, Lucknow Super Giants, Barbados Royals, Durban Super Giants",--,4,15,--,--,--
Imran Tahir,South Africa,--,"Mar 27, 1979 (43 years)","Lahore, Punjab",Bowler,"South Africa, Warwickshire, Hampshire, Duronto Rajshahi, Lions, Delhi Capitals, Dolphins, Nottinghamshire, Mumbai Cricket Association XI, Rising Pune Supergiant, Derbyshire, World XI, Nelson Mandela Bay Stars, Chennai Super Kings, Multan Sultans, Guyana Amazon Warriors, Durham, Nelson Mandela Bay Giants, Surrey, Amsterdam Knights, Melbourne Renegades, Deccan Gladiators, Birmingham Phoenix, Northern Warriors, Dambulla Giants, World Giants, Manipal Tigers, MI Emirates",--,--,--,--,--,--
Kagiso Rabada,South Africa,--,"May 25, 1995 (27 years)",Johannesburg,Bowler,"South Africa, South Africa U19, South Africa A, Lions, Kent, Delhi Capitals, Joburg Giants, Jozi Stars, Manchester Originals, Punjab Kings, MI Cape Town",--,--,--,6,15,42
Lungi Ngidi,South Africa,--,"Mar 29, 1996 (26 years)","Durban, Natal",Bowler,"South Africa, South Africa U19, Titans, South Africa A, Benoni Zalmi, Chennai Super Kings, Tshwane Spartans, World XI, Welsh Fire, Delhi Capitals, Paarl Royals",--,--,--,27,20,33
Tabraiz Shamsi,South Africa,--,"Feb 18, 1990 (32 years)","Johannesburg, Gauteng",Bowler,"South Africa, Titans, St Kitts and Nevis Patriots, South Africa A, Royal Challengers Bangalore, Northamptonshire, Stellenbosch Kings, Warriors, Paarl Rocks, Edinburgh Rocks, Hampshire, Jamaica Tallawahs, Oval Invincibles, Rajasthan Royals, Galle Gladiators, Guyana Amazon Warriors, Trent Rockets, Paarl Royals, Deccan Gladiators",--,--,--,--,30,6
Beuran Hendricks,South Africa,--,"Jun 08, 1990 (32 years)","Louis Leipoldt Hospital, Bellville, Cape Town",Bowler,"South Africa, South Africa A, South African Invitation XI, Cape Cobras, Punjab Kings, Lions, Bloem City Blazers, Jozi Stars, Mumbai Indians, Saint Lucia Kings, Nelson Mandela Bay Giants, Western Province, Leicestershire, MI Cape Town",--,--,--,--,--,--
Martin Guptill,New Zealand,--,"Sep 30, 1986 (36 years)",Auckland,Batsman,"New Zealand, New Zealand U19, Derbyshire, Auckland, Sydney Thunder, Guyana Amazon Warriors, St Kitts and Nevis Patriots, Mumbai Indians, Lancashire, Auckland, Punjab Kings, New Zealand A, New Zealand XI, Barbados Royals, Worcestershire, Sunrisers Hyderabad, Edinburgh Rocks, Karachi Kings, Melbourne Renegades",--,20,24,--,--,--
Ross Taylor,New Zealand,--,"Mar 08, 1984 (38 years)","Lower Hutt, Wellington",Batsman,"New Zealand, New Zealand U19, Royal Challengers Bangalore, Durham, Rajasthan Royals, Delhi Capitals, Pune Warriors, Trinidad and Tobago, Trinbago Knight Riders, Saint Lucia Kings, Central Districts, Sussex, New Zealand A, New Zealand XI, Nottinghamshire, Jamaica Tallawahs, Middlesex, World XI, Guyana Amazon Warriors, Team Latham, New Zealand Legends, India Capitals",--,--,--,--,--,--
Kane Williamson,New Zealand,--,"Aug 08, 1990 (32 years)",Tauranga,Batsman,"New Zealand, Gloucestershire, Yorkshire, Northern Knights, Sunrisers Hyderabad, New Zealand A, Barbados Royals, Edmonton Royals, Birmingham Phoenix, Team Williamson",6,10,35,--,--,--
Henry Nicholls,New Zealand,--,"Nov 15, 1991 (31 years)",Christchurch,Batsman,"Canterbury, New Zealand, Sydney Thunder, New Zealand A, New Zealand XI, Derbyshire, Team Williamson",30,55,--,--,--,--
James Neesham,New Zealand,--,"Sep 17, 1990 (32 years)",Auckland,Batting Allrounder,"New Zealand, Auckland, New Zealand U19, New Zealand A, Otago, Delhi Capitals, Guyana Amazon Warriors, Kolkata Knight Riders, Derbyshire, Kent, Wellington, Trinbago Knight Riders, Edmonton Royals, Punjab Kings, New Zealand XI, Mumbai Indians, Essex, Welsh Fire, Rajasthan Royals, Northamptonshire, Northamptonshire, Pretoria Capitals, Jaffna Kings",--,81,--,--,--,--
Colin de Grandhomme,New Zealand,--,"Jul 22, 1986 (36 years)",Harare,Batting Allrounder,"New Zealand, Auckland, New Zealand A, Kolkata Knight Riders, Warwickshire, Royal Challengers Bangalore, New Zealand XI, Jamaica Tallawahs, Northern Knights, Saint Lucia Kings, Team Latham, Hampshire, Southern Brave, Surrey, Morrisville Samp Army, Adelaide Strikers",34,90,--,55,58,--
Colin Munro,New Zealand,--,"Mar 11, 1987 (35 years)",Durban,Batting Allrounder,"New Zealand, Auckland, New Zealand A, Worcestershire, Mumbai Indians, Kolkata Knight Riders, Trinbago Knight Riders, Sydney Sixers, Delhi Capitals, Hampshire, Balkh Legends, Karachi Kings, Brampton Wolves, New Zealand XI, Islamabad United, Perth Scorchers, Manchester Originals, Trent Rockets, Bangla Tigers, Brisbane Heat, Desert Vipers",--,--,--,--,--,--
Mitchell Santner,New Zealand,--,"Feb 05, 1992 (30 years)",Hamilton,Bowling Allrounder,"New Zealand, Northern Knights, Worcestershire, Chennai Super Kings, New Zealand XI, Barbados Royals, Team Williamson",--,80,--,91,19,12
Tom Latham,New Zealand,--,"Apr 02, 1992 (30 years)","Christchurch, Canterbury",WK-Batsman,"New Zealand, New Zealand A, Scotland, Canterbury, Kent, Durham, New Zealand XI, Team Latham",26,18,--,--,--,--
Tom Blundell,New Zealand,--,"Sep 01, 1990 (32 years)",Wellington,WK-Batsman,"Wellington, New Zealand A, New Zealand, New Zealand XI, Team Latham",22,--,--,--,--,--
Trent Boult,New Zealand,--,"Jul 22, 1989 (33 years)",Rotorua,Bowler,"New Zealand, New Zealand A, Northern Knights, Sunrisers Hyderabad, Kolkata Knight Riders, Delhi Capitals, Toronto Nationals, Mumbai Indians, Rajasthan Royals, Melbourne Stars, MI Emirates",--,--,--,11,1,19
Matt Henry,New Zealand,--,"Dec 14, 1991 (30 years)","Christchurch, Canterbury",Bowler,"New Zealand, New Zealand A, Chennai Super Kings, Canterbury, Worcestershire, New Zealand XI, Punjab Kings, Derbyshire, Kent, Edinburgh Rocks, Team Latham",--,--,--,48,5,--
Tim Southee,New Zealand,--,"Dec 11, 1988 (33 years)","Whangarei, Northland",Bowler,"New Zealand, New Zealand U19, Chennai Super Kings, Essex, Basnahira Cricket Dundee, Rajasthan Royals, Northern Knights, Mumbai Indians, New Zealand A, Middlesex, Royal Challengers Bangalore, Vancouver Knights, Team Williamson, Kolkata Knight Riders",--,--,--,14,34,14
Ish Sodhi,New Zealand,--,"Oct 31, 1992 (30 years)","Ludhiana, India",Bowler,"New Zealand U19, New Zealand A, New Zealand, Northern Knights, Adelaide Strikers, Nottinghamshire, New Zealand XI, Rajasthan Royals, Jamaica Tallawahs, Brampton Wolves, St Kitts and Nevis Patriots, Worcestershire, Welsh Fire, Canterbury",--,--,--,--,66,24
Lockie Ferguson,New Zealand,--,"Jun 13, 1991 (31 years)",Auckland,Bowler,"Auckland, New Zealand A, New Zealand, Rising Pune Supergiant, Derbyshire, Kolkata Knight Riders, New Zealand XI, Yorkshire, Manchester Originals, Gujarat Titans",--,--,--,--,32,47
Naresh Bahadur Budayair,Nepal,--,"Oct 15, 1991 (31 years)",Kanchanpur,Batsman,Nepal,--,--,--,--,--,--
Rajesh Pulami,Nepal,--,"Aug 27, 1992 (30 years)",--,Batsman,Nepal,--,--,--,--,--,--
Gyanendra Malla,Nepal,--,"Sep 16, 1990 (32 years)",Nepal,Batsman,Nepal,--,--,--,--,--,--
Anil Mandal,Nepal,--,"Feb 05, 1991 (31 years)","Janakpur, Nepal",Batsman,Nepal,--,--,--,--,--,--
Sharad Vesawkar,Nepal,--,"Oct 06, 1988 (34 years)",United Arab Emirates,Batsman,Nepal,--,--,--,--,--,--
Paras Khadka,Nepal,--,"Oct 24, 1987 (35 years)",Nepal,Batting Allrounder,"Nepal, Team Abu Dhabi",--,--,--,--,--,--
Amrit Bhattarai,Nepal,--,"Dec 30, 1990 (31 years)",Nepal,Bowling Allrounder,Nepal,--,--,--,--,--,--
Shakti Gauchan,Nepal,--,"Apr 22, 1984 (38 years)","Rupandehi, Nepal",Bowling Allrounder,Nepal,--,--,--,--,--,--
Avinash Karn,Nepal,--,"Feb 04, 1995 (27 years)",--,Bowling Allrounder,"Nepal, Nepal U19",--,--,--,--,--,--
Basant Regmi,Nepal,--,"Apr 06, 1986 (36 years)",Bhairahawa,Bowling Allrounder,Nepal,--,--,--,--,--,--
Sagar Pun,Nepal,--,"Mar 01, 1993 (29 years)",--,Bowling Allrounder,Nepal,--,--,--,--,--,--
Pradeep Airee,Nepal,--,"Sep 01, 1992 (30 years)",--,WK-Batsman,Nepal,--,--,--,--,--,--
Binod Bhandari,Nepal,--,"Jan 25, 1990 (32 years)",Kanchanpur,WK-Batsman,Nepal,--,--,--,--,--,--
Subash Khakurel,Nepal,--,"Apr 07, 1993 (29 years)",--,WK-Batsman,Nepal,--,--,--,--,--,--
Karan KC,Nepal,--,"Oct 10, 1991 (31 years)","Sigana V.D.C, Baglung",Bowler,"Nepal, Pune Devils",--,--,--,--,--,--
Jitendra Mukhiya,Nepal,--,"Nov 22, 1992 (30 years)",Nepal,Bowler,Nepal,--,--,--,--,--,--
Sompal Kami,Nepal,--,"Feb 02, 1996 (26 years)",Gulmi,Bowler,"Nepal, Winnipeg Hawks, Flying Oryx, Maratha Arabians",--,--,--,--,93,--
Riaan Walters,Namibia,--,"Aug 10, 1980 (42 years)",Namibia,Batsman,Namibia,--,--,--,--,--,--
Sarel Burger,Namibia,--,"Feb 13, 1983 (39 years)",Windhoek,Batting Allrounder,Namibia,--,--,--,--,--,--
Gerrie Snyman,Namibia,--,"Apr 30, 1981 (41 years)",Windhoek,Bowling Allrounder,Namibia,--,--,--,--,--,--
Stefan Swanepoel,Namibia,--,"Dec 02, 1981 (41 years)",Namibia,WK-Batsman,Namibia,--,--,--,--,--,--
Jan-Berrie Burger,Namibia,--,"Aug 25, 1981 (41 years)","Newcastle, South Africa",Bowler,Namibia,--,--,--,--,--,--
Burton van Rooi,Namibia,--,"Jul 09, 1982 (40 years)",Namibia,Bowler,Namibia,--,--,--,--,--,--
Louis Burger,Namibia,--,"Mar 12, 1978 (44 years)",Namibia,--,Namibia,--,--,--,--,--,--
Morne Karg,Namibia,--,"Jul 12, 1977 (45 years)",Windhoek,--,Namibia,--,--,--,--,--,--
Danie Keulder,Namibia,--,"Aug 02, 1973 (49 years)",Namibia,--,Namibia,--,--,--,--,--,--
Bjorn Kotze,Namibia,--,"Dec 11, 1978 (43 years)",Windhoek,--,Namibia,--,--,--,--,--,--
Deon Kotze,Namibia,--,"Sep 12, 1973 (49 years)",Windhoek,--,Namibia,--,--,--,--,--,--
Lennie Louw,Namibia,--,"Jun 19, 1959 (63 years)","Barkly West, Cape Province, South Africa",--,Namibia,--,--,--,--,--,--
Melt van Schoor,Namibia,--,"Dec 08, 1967 (54 years)","Mowbray, Cape Town, Cape Province, South Africa",--,Namibia,--,--,--,--,--,--
Rudi van Vuuren,Namibia,--,"Sep 20, 1972 (50 years)",Windhoek,--,Namibia,--,--,--,--,--,--
Ali Bushahri,Kuwait,--,"Oct 17, 1996 (26 years)",Kuwait,Batsman,Kuwait,--,--,--,--,--,--
Alkandari Mohammad,Kuwait,--,"Mar 28, 1994 (28 years)",--,Batsman,Kuwait,--,--,--,--,--,--
Alnadi Faleh,Kuwait,--,"Oct 07, 1984 (38 years)",--,Batsman,Kuwait,--,--,--,--,--,--
Bastaki Abdullah,Kuwait,--,"Mar 02, 1990 (32 years)",--,Batsman,Kuwait,--,--,--,--,--,--
Eissa Jassim,Kuwait,--,"Mar 29, 1985 (37 years)",--,Batsman,Kuwait,--,--,--,--,--,--
Salem Mishary,Kuwait,--,"Jul 24, 1989 (33 years)",--,Batsman,Kuwait,--,--,--,--,--,--
Bastaki Mahmoud,Kuwait,--,"May 05, 1956 (66 years)",--,Bowling Allrounder,Kuwait,--,--,--,--,--,--
Abdulrahman Dashti,Kuwait,--,"Apr 07, 1984 (38 years)",--,WK-Batsman,Kuwait,--,--,--,--,--,--
Alkandari Abdulrahman,Kuwait,--,"Dec 19, 1988 (33 years)",--,Bowler,Kuwait,--,--,--,--,--,--
Alotaibi Mohammed,Kuwait,--,"Mar 23, 1984 (38 years)",--,Bowler,Kuwait,--,--,--,--,--,--
Bastaki Fahad,Kuwait,--,"Mar 07, 1991 (31 years)",--,Bowler,Kuwait,--,--,--,--,--,--
Ebrahim Aldhabyan,Kuwait,--,--,--,--,Kuwait,--,--,--,--,--,--
Ali Zainal,Kuwait,--,--,--,--,Kuwait,--,--,--,--,--,--
Beidas Tareq,Kuwait,--,"May 12, 1975 (47 years)",--,--,Kuwait,--,--,--,--,--,--
Yousif Alzaid,Kuwait,--,--,--,--,Kuwait,--,--,--,--,--,--
Mohammad Usman,United Arab Emirates,--,"Aug 29, 1993 (29 years)",Lahore,Batsman,"United Arab Emirates, Emirates Cricket Board XI",--,--,97,--,--,--
Shaiman Anwar,United Arab Emirates,--,"Mar 15, 1979 (43 years)","Sialkot, Punjab",Batsman,"United Arab Emirates, Emirates Cricket Board XI, Edmonton Royals, Punjabi Legends, Winnipeg Hawks",--,--,--,--,--,--
Chundangapoyil Rizwan,United Arab Emirates,--,"Apr 19, 1988 (34 years)","Tellicherry, Kerala",Batsman,"United Arab Emirates, Desert Riders",--,--,--,--,--,--
Chirag Suri,United Arab Emirates,--,"Feb 18, 1995 (27 years)",--,Batsman,"United Arab Emirates, United Arab Emirates U19, Emirates Cricket Board XI, Gujarat Lions, Bengal Tigers, Toronto Nationals, Bangla Tigers, Swift Gallopers",--,--,94,--,--,--
Ashfaq Ahmed,United Arab Emirates,--,"Mar 26, 1985 (37 years)",--,Batsman,"United Arab Emirates, Rajputs",--,--,--,--,--,--
Mohammad Boota,United Arab Emirates,--,"Jan 05, 1983 (39 years)","Sialkot, Pakistan",Batsman,"United Arab Emirates, Pune Devils",--,--,--,--,--,--
Fayyaz Ahmed,United Arab Emirates,--,"May 12, 1983 (39 years)","Gujrat, Punjab",Batting Allrounder,"United Arab Emirates, Qalandars",--,--,--,--,--,--
