name,team,height,date_of_birth,birth_place,role,teams,bat_test,bat_odi,bat_t20,bow_test,bow_odi,bow_t20
Yuzvendra Chahal,India,--,"Jul 23, 1990 (32 years)","Jind, Haryana",Bowler,"Mumbai Indians, Haryana, Royal Challengers Bangalore, North Zone, India A, India AT20, India, Rajasthan Royals, Indians",--,--,--,--,23,40
Navdeep Saini,India,--,"Nov 23, 1992 (30 years)","Karnal, Haryana",Bowler,"Delhi, India A, Delhi Capitals, India Green, Royal Challengers Bangalore, Rest of India, India, India B, India C, Rajasthan Royals, Leicestershire, Kent, North Zone",--,--,--,--,--,--
Shardul Thakur,India,--,"Oct 16, 1991 (31 years)","Palghar, Maharashtra",Bowler,"India, Tata Sports Club, Mumbai A, Mumbai, Punjab Kings, West Zone, Rest of India, India A, Indian Board Presidents XI, India B, Mumbai Cricket Association XI, India Blue, Rising Pune Supergiant, Chennai Super Kings, Eagle Thane Strikers, Board Presidents XI, Indians, Delhi Capitals",--,--,--,50,51,--
Umesh Yadav,India,--,"Oct 25, 1987 (35 years)","Nagpur, Maharashtra",Bowler,"Board Presidents XI, Delhi Capitals, India, Rest of India, India B, Vidarbha, India Red, Central Zone, Indians, Kolkata Knight Riders, India A, Royal Challengers Bangalore, Middlesex",--,--,--,39,--,--
Mohammed Siraj,India,--,"Mar 13, 1994 (28 years)",Hyderabad,Bowler,"Hyderabad, Rest of India, India A, Sunrisers Hyderabad, India Green, India, Royal Challengers Bangalore, India B, Indians, Warwickshire",--,--,--,49,38,92
William Porterfield,Ireland,--,"Sep 06, 1984 (38 years)",Londonderry,Batsman,"Ireland, Gloucestershire, Warwickshire, Ireland A, Team Rausa, Bhilwara Kings",--,--,--,--,--,--
James McCollum,Ireland,--,"Aug 01, 1995 (27 years)",--,Batsman,"Ireland A, Ireland, Team Rausa, Team Caulfield",--,--,--,--,--,--
Andrew Balbirnie,Ireland,--,"Dec 28, 1990 (31 years)","Dublin, Ireland",Batsman,"Ireland, Middlesex, Ireland A, Dublin Chiefs, Team Caulfield, Glamorgan",--,42,48,--,--,--
Tyrone Kane,Ireland,--,"Jul 08, 1994 (28 years)","Dublin, Ireland",Batting Allrounder,"Ireland, Ireland A, Dublin Chiefs, Team Rausa",--,--,--,--,--,--
Kevin O Brien,Ireland,--,"Mar 04, 1984 (38 years)","Dublin, Ireland",Batting Allrounder,"Ireland, Gloucestershire, Somerset, Rangpur Riders, Trinidad and Tobago, Surrey, Trinbago Knight Riders, Leicestershire, Northern Knights, Edmonton Royals, Ireland A, Kandahar Knights, Dublin Chiefs, Team Caulfield, World Giants, Gujarat Giants",--,--,--,--,--,--
Paul Stirling,Ireland,--,"Sep 03, 1990 (32 years)",Ireland,Batting Allrounder,"Ireland, Middlesex, Sylhet Royals, Kandahar Knights, Paarl Rocks, Kerala Knights, Khulna Titans, Belfast Titans, Delhi Bulls, Northamptonshire, Dambulla Viiking, Team Abu Dhabi, Islamabad United, Southern Brave, Warwickshire, Guyana Amazon Warriors, New York Strikers, Abu Dhabi Knight Riders",--,16,26,--,--,--
Stuart Thompson,Ireland,--,"Aug 15, 1991 (31 years)","Londonderry, Ireland",Bowling Allrounder,"Ireland, Ireland A, Belfast Titans, Team Caulfield, New York Strikers",--,--,--,--,--,--
Gary Wilson,Ireland,5 ft 10 in,"Feb 05, 1986 (36 years)","Dundonald, Northern Ireland",WK-Batsman,"Ireland, Surrey, Derbyshire, Belfast Titans, Team Rausa",--,--,--,--,--,--
Lorcan Tucker,Ireland,--,"Sep 10, 1996 (26 years)",Ireland,WK-Batsman,"Ireland U19, Ireland, Ireland A, Dublin Chiefs, Team Caulfield",--,--,69,--,--,--
Peter Chase,Ireland,--,"Oct 09, 1993 (29 years)","Dublin, Ireland",Bowler,"Ireland, West Indies Cricket Board President XI, South Africa, Ireland A, Team Rausa",--,--,--,--,--,--
George Dockrell,Ireland,--,"Jul 22, 1992 (30 years)",Dublin,Bowler,"Ireland, Somerset, Australians, Sussex, Marylebone Cricket Club, Ireland A, Dublin Chiefs, Team Caulfield",--,--,--,--,--,--
Tim Murtagh,Ireland,6 ft 2 in,"Aug 02, 1981 (41 years)","Lambeth, London",Bowler,"England, Middlesex, Ireland, Marylebone Cricket Club",--,--,--,--,--,--
Mark Adair,Ireland,--,"Mar 27, 1996 (26 years)","Holywood, Northern Ireland",Bowler,"Warwickshire, Ireland, Belfast Titans, Ireland A",--,--,--,--,--,65
Andy McBrine,Ireland,--,"Apr 30, 1993 (29 years)",Northern Ireland,Bowler,"Ireland, South Africa, Ireland A, Belfast Titans, Team Rausa",--,--,--,--,13,--
Barry McCarthy,Ireland,--,"Sep 13, 1992 (30 years)",--,Bowler,"Durham, Ireland, Sylhet Sixers, Ireland A, Team Caulfield",--,--,--,--,--,100
Boyd Rankin,Ireland,6 ft 7 in,"Jul 05, 1984 (38 years)",Londonderry,Bowler,"Ireland, Warwickshire, England, Essex, England Cricket Board XI, Belfast Titans, Derbyshire, Team Rausa",--,--,--,--,--,--
Aaron Finch,Australia,1.74 m,"Nov 17, 1986 (36 years)","Colac, Victoria",Batsman,"Victoria, Rajasthan Royals, Australia, Delhi Capitals, Melbourne Renegades, Ruhuna Royals, Pune Warriors, Trinidad and Tobago, Australia A, Cricket Australia Invitational XI, Sunrisers Hyderabad, Yorkshire, Marylebone Cricket Club, Mumbai Indians, Gujarat Lions, Surrey, Victoria XI, Punjab Kings, Royal Challengers Bangalore, Finch XI, Northern Superchargers, Kolkata Knight Riders",--,24,9,--,--,--
Steven Smith,Australia,--,"Jun 02, 1989 (33 years)","Sydney, New South Wales",Batsman,"Australia, Royal Challengers Bangalore, New South Wales, Worcestershire, Kochi Tuskers Kerala, Sydney Sixers, Pune Warriors, Antigua Hawksbills, Australians, Rajasthan Royals, Sydney Thunder, Rising Pune Supergiant, Toronto Nationals, Barbados Royals, Comilla Victorians, Multan Sultans, Cummins XI, Delhi Capitals",4,6,--,--,--,--
David Warner,Australia,1.70 m,"Oct 27, 1986 (36 years)","Paddington, New South Wales",Batsman,"Australia, Delhi Capitals, New South Wales, Middlesex, Cricket Australia Chairmans XI, Sydney Thunder, Sydney Sixers, Australians, Sunrisers Hyderabad, Winnipeg Hawks, Saint Lucia Kings, Sylhet Sixers, Australia A, Finch XI, Cummins XI, Southern Brave",17,5,39,--,--,--
Joe Burns,Australia,--,"Sep 06, 1989 (33 years)","Herston, Brisbane, Queensland",Batsman,"Cricket Australia Chairmans XI, Australia, Brisbane Heat, Queensland, Leicestershire, Hobart Hurricanes, Middlesex, Australia A, Prime Ministers XI, Glamorgan, Cricket Australia XI, Lancashire, Melbourne Stars",73,--,--,--,--,--
Will Pucovski,Australia,--,"Feb 02, 1998 (24 years)","Malvern, Victoria",Batsman,"Cricket Australia XI, Victoria, Prime Ministers XI, Australia, Australia A, Melbourne Stars",--,--,--,--,--,--
Glenn Maxwell,Australia,--,"Oct 14, 1988 (34 years)","Kew, Melbourne, Victoria",Batting Allrounder,"Australia, Victoria, Cricket Australia Chairmans XI, Melbourne Renegades, Delhi Capitals, Hampshire, Melbourne Stars, Mumbai Indians, Surrey, Australia A, Punjab Kings, Yorkshire, Lancashire, Cummins XI, Finch XI, Royal Challengers Bangalore, London Spirit",--,25,36,--,--,--
Marcus Stoinis,Australia,--,"Aug 16, 1989 (33 years)",Perth,Batting Allrounder,"Australia, Perth Scorchers, Victoria, Melbourne Stars, Australia A, Delhi Capitals, Punjab Kings, Western Australia, Kent, Royal Challengers Bangalore, Barbados Royals, Cummins XI, Southern Brave, Lucknow Super Giants",--,76,40,--,--,--
