Bal_Test_M,Bal_Test_Inn,Bal_Test_B,Bal_Test_Runs,Bal_Test_Wkts,Bal_Test_BBI,Bal_Test_BBM,Bal_Test_Econ,Bal_Test_Avg,Bal_Test_SR,Bal_Test_5W,Bal_Test_10W,Bal_ODI_M,Bal_ODI_Inn,Bal_ODI_B,Bal_ODI_Runs,Bal_ODI_Wkts,Bal_ODI_BBI,Bal_ODI_BBM,Bal_ODI_Econ,Bal_ODI_Avg,Bal_ODI_SR,Bal_ODI_5W,Bal_ODI_10W,Bal_T20I_M,Bal_T20I_Inn,Bal_T20I_B,Bal_T20I_Runs,Bal_T20I_Wkts,Bal_T20I_BBI,Bal_T20I_BBM,Bal_T20I_Econ,Bal_T20I_Avg,Bal_T20I_SR,Bal_T20I_5W,Bal_T20I_10W,Bal_IPL_M,Bal_IPL_Inn,Bal_IPL_B,Bal_IPL_Runs,Bal_IPL_Wkts,Bal_IPL_BBI,Bal_IPL_BBM,Bal_IPL_Econ,Bal_IPL_Avg,Bal_IPL_SR,Bal_IPL_5W,Bal_IPL_10W
4,7,892,458,10,3/55,5/89,3.08,45.8,89.2,0,0,3,3,158,161,3,2/53,2/53,6.11,53.67,52.67,0,0,8,8,150,204,11,3/12,3/12,8.16,18.55,13.64,0,0,-,-,-,-,-,-,-,-,-,-,-,-
69,5,30,20,0,0/1,0/1,4.0,0.0,0.0,0,0,231,2,6,13,0,0/6,0/6,13.0,0.0,0.0,0,0,78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,12,508,336,4,2/68,2/68,3.97,84.0,127.0,0,0,61,18,400,389,11,3/56,3/56,5.83,35.36,36.36,0,0,72,24,264,417,11,2/19,2/19,9.48,37.91,24.0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
11,7,144,98,0,0/9,0/9,4.08,0.0,0.0,0,0,66,21,306,345,3,1/12,1/12,6.76,115.0,102.0,0,0,48,9,73,79,6,3/11,3/11,6.49,13.17,12.17,0,0,-,-,-,-,-,-,-,-,-,-,-,-
50,66,3423,1958,43,5/51,8/110,3.43,45.53,79.6,1,0,214,145,4267,3702,82,3/4,3/4,5.21,45.15,52.04,0,0,121,70,845,1012,38,3/10,3/10,7.19,26.63,22.24,0,0,-,-,-,-,-,-,-,-,-,-,-,-
63,106,14406,7048,225,7/36,10/124,2.94,31.32,64.03,19,2,223,220,11471,8476,292,5/29,5/29,4.43,29.03,39.28,4,0,109,107,2385,2715,128,5/20,5/20,6.83,21.21,18.63,1,0,71,70,1484,1839,63,3/17,3/17,7.44,29.19,23.56,0,0
4,6,162,87,0,0/1,0/4,3.22,0.0,0.0,0,0,43,41,1130,969,17,3/13,3/13,5.15,57.0,66.47,0,0,33,26,331,398,18,5/20,5/20,7.21,22.11,18.39,1,0,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,29,28,1283,1279,41,4/41,4/41,5.98,31.2,31.29,0,0,34,34,701,1009,34,4/33,4/33,8.64,29.68,20.62,0,0,-,-,-,-,-,-,-,-,-,-,-,-
35,59,8869,4610,135,7/58,12/117,3.12,34.15,65.7,8,2,66,65,3285,2523,78,4/25,4/25,4.61,32.35,42.12,0,0,19,19,294,426,8,3/17,3/17,8.69,53.25,36.75,0,0,-,-,-,-,-,-,-,-,-,-,-,-
82,-,-,-,-,-,-,-,-,-,-,-,238,-,-,-,-,-,-,-,-,-,-,-,102,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35,-,-,-,-,-,-,-,-,-,-,-,59,-,-,-,-,-,-,-,-,-,-,-,65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,-,-,-,-,-,-,-,-,-,-,-,34,1,12,12,0,0/12,0/12,6.0,0.0,0.0,0,0,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,51,5990,3239,78,4/60,5/88,3.24,41.53,76.79,0,0,220,220,10928,8897,270,6/26,6/26,4.88,32.95,40.47,1,0,54,53,1139,1528,42,4/19,4/19,8.05,36.38,27.12,0,0,1,1,24,58,0,0/58,0/58,14.5,0.0,0.0,0,0
27,44,4223,2764,36,5/166,5/210,3.93,76.78,117.31,1,0,104,102,4678,4427,129,6/26,6/26,5.68,34.32,36.26,1,0,28,27,579,912,28,3/31,3/31,9.45,32.57,20.68,0,0,-,-,-,-,-,-,-,-,-,-,-,-
15,25,2145,1139,31,4/37,5/66,3.19,36.74,69.19,0,0,81,80,3920,3304,140,6/43,6/43,5.06,23.6,28.0,5,0,78,77,1672,2129,97,5/22,5/22,7.64,21.95,17.24,1,0,46,46,1050,1365,46,3/16,3/16,7.8,29.67,22.83,0,0
13,18,1964,1118,30,4/71,6/130,3.42,37.27,65.47,0,0,2,2,108,114,5,5/58,5/58,6.33,22.8,21.6,1,0,3,3,66,106,4,2/27,2/27,9.64,26.5,16.5,0,0,-,-,-,-,-,-,-,-,-,-,-,-
