name,team,date_of_birth,palce_of_birth,role,height,test_bat_rank,odi_bat_rank,t20_bat_rank,test_bow_rank,odi_bow_rank,t20_bow_rank,link,bat_path,bow_path
Beuran Hendricks,South Africa,"Jun 08, 1990 (32 years)","Louis Leipoldt Hospital, Bellville, Cape Town",Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/9490/beuran-hendricks,Scores/bat_9490.csv,Scores/bow_9490.csv
Martin Guptill,New Zealand,"Sep 30, 1986 (36 years)",Auckland,Batsman,--,--,24,24,--,--,--,https://www.cricbuzz.com/profiles/1457/martin-guptill,Scores/bat_1457.csv,Scores/bow_1457.csv
Ross Taylor,New Zealand,"Mar 08, 1984 (38 years)","Lower Hutt, Wellington",Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/521/ross-taylor,Scores/bat_521.csv,Scores/bow_521.csv
Kane Williamson,New Zealand,"Aug 08, 1990 (32 years)",Tauranga,Batsman,--,6,8,35,--,--,--,https://www.cricbuzz.com/profiles/6326/kane-williamson,Scores/bat_6326.csv,Scores/bow_6326.csv
Henry Nicholls,New Zealand,"Nov 15, 1991 (31 years)",Christchurch,Batsman,--,30,57,--,--,--,--,https://www.cricbuzz.com/profiles/10694/henry-nicholls,Scores/bat_10694.csv,Scores/bow_10694.csv
James Neesham,New Zealand,"Sep 17, 1990 (32 years)",Auckland,Batting Allrounder,--,--,84,--,--,--,--,https://www.cricbuzz.com/profiles/8983/james-neesham,Scores/bat_8983.csv,Scores/bow_8983.csv
Colin de Grandhomme,New Zealand,"Jul 22, 1986 (36 years)",Harare,Batting Allrounder,--,34,93,--,56,60,--,https://www.cricbuzz.com/profiles/8081/colin-de-grandhomme,Scores/bat_8081.csv,Scores/bow_8081.csv
Colin Munro,New Zealand,"Mar 11, 1987 (35 years)",Durban,Batting Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/8085/colin-munro,Scores/bat_8085.csv,Scores/bow_8085.csv
Mitchell Santner,New Zealand,"Feb 05, 1992 (30 years)",Hamilton,Bowling Allrounder,--,--,83,--,91,22,12,https://www.cricbuzz.com/profiles/10100/mitchell-santner,Scores/bat_10100.csv,Scores/bow_10100.csv
Tom Latham,New Zealand,"Apr 02, 1992 (30 years)","Christchurch, Canterbury",WK-Batsman,--,27,16,--,--,--,--,https://www.cricbuzz.com/profiles/8216/tom-latham,Scores/bat_8216.csv,Scores/bow_8216.csv
Tom Blundell,New Zealand,"Sep 01, 1990 (32 years)",Wellington,WK-Batsman,--,21,--,--,--,--,--,https://www.cricbuzz.com/profiles/10717/tom-blundell,Scores/bat_10717.csv,Scores/bow_10717.csv
Trent Boult,New Zealand,"Jul 22, 1989 (33 years)",Rotorua,Bowler,--,--,--,--,11,1,19,https://www.cricbuzz.com/profiles/8117/trent-boult,Scores/bat_8117.csv,Scores/bow_8117.csv
Matt Henry,New Zealand,"Dec 14, 1991 (30 years)","Christchurch, Canterbury",Bowler,--,--,--,--,47,4,--,https://www.cricbuzz.com/profiles/9067/matt-henry,Scores/bat_9067.csv,Scores/bow_9067.csv
Tim Southee,New Zealand,"Dec 11, 1988 (33 years)","Whangarei, Northland",Bowler,--,--,--,--,16,29,14,https://www.cricbuzz.com/profiles/1057/tim-southee,Scores/bat_1057.csv,Scores/bow_1057.csv
Ish Sodhi,New Zealand,"Oct 31, 1992 (30 years)","Ludhiana, India",Bowler,--,--,--,--,--,69,24,https://www.cricbuzz.com/profiles/8561/ish-sodhi,Scores/bat_8561.csv,Scores/bow_8561.csv
